inputID,address,confidence,matchType,accuracy,latitude,longitude
430382,"""154 ELLERSLIE AVE",1,undefined,point,43.770244,-79.420467
430380,"""3 ROMNEY RD",1,undefined,point,43.669159,-79.520139
430381,"""24 GLEN PARK AVE",1,undefined,point,43.712902,-79.430938
430383,"""34 SIR WILLIAMS LANE",1,undefined,point,43.664283,-79.539761
430384,"""28 ALLISTER AVE",1,undefined,point,43.726544,-79.236005
430385,"""42 CLAXTON BLVD",1,undefined,point,43.688915,-79.423597
430387,"""9 CHELFORD RD",1,undefined,point,43.742055,-79.364219
430386,"""238 HADDINGTON AVE",1,undefined,point,43.733056,-79.429839
430388,"""462 MELROSE AVE",1,undefined,point,43.729157,-79.423699
430389,"""97 ST LEONARDS AVE",1,undefined,point,43.722363,-79.394472
430392,"""35 NEWTON DR",1,undefined,point,43.9062,-80.1053
430390,"""41 VICTORIA PARK AVE",1,undefined,point,43.676319,-79.280751
430391,"""27 BELGRAVE AVE",1,undefined,point,43.742903,-79.418048
430394,"""106 WARREN RD",1,undefined,point,43.429536,-80.512419
430393,"""101 CHESTNUT HILLS PKWY",1,undefined,point,43.659243,-79.524715
430396,"""17 KAREN RD",1,undefined,point,43.762067,-79.339238
430395,"""261 ALDERCREST RD",1,undefined,point,43.610425,-79.542494
430397,"""178 KINGSVIEW BLVD",1,undefined,point,43.693897,-79.566265
430398,"""2 SUMMERSIDE CRES",1,undefined,point,43.796649,-79.368285
430399,"""18 WINDHAM DR",1,undefined,point,43.777856,-79.384041
430400,"""60 WAVERLEY RD",1,undefined,point,43.907895,-78.694922
430401,"""21 BAINBRIDGE AVE",1,undefined,point,45.331074,-75.777458
430402,"""113 WATERLOO AVE",1,undefined,point,43.75802,-79.446392
430403,"""29 SILVERTON AVE",1,undefined,point,43.742447,-79.439682
430405,"""3 NIPISSING DR",1,undefined,point,43.640056,-79.55424
430404,"""25 EDGEVALLEY DR",1,undefined,point,43.667474,-79.517996
430406,"""42 ALDERSHOT CRES",1,undefined,point,43.753537,-79.40052
430407,"""53 BANNOCKBURN AVE",1,undefined,point,43.732758,-79.425004
430408,"""572 FAIRLAWN AVE",1,undefined,point,43.725394,-79.430401
430410,"""29 RIDELLE AVE",1,undefined,point,43.706326,-79.429534
430409,"""59 FOREST HEIGHTS BLVD",1,undefined,point,43.759083,-79.380785
430412,"""71 PLYMBRIDGE RD",1,undefined,point,43.740806,-79.396796
430413,"""121 AVA RD",1,undefined,point,43.696859,-79.428519
430414,"""117 RIDLEY BLVD",1,undefined,point,43.73778,-79.413869
430415,"""212 DUNVEGAN RD",1,undefined,point,43.697785,-79.410967
430416,"""294 BROOKE AVE",1,undefined,point,43.732613,-79.423446
430417,"""28 COURTSFIELD CRES",1,undefined,point,43.702903,-79.816026
430418,"""62 MATTICE AVE",1,undefined,point,43.646642,-79.539861
430419,"""38 GRAND MAGAZINE ST",1,undefined,point,43.637315,-79.402945
430420,"""199 SHAVER AVE N",1,undefined,point,43.647489,-79.551031
